省份/地区,城市,昨日新增,累计确诊,累计治愈,累计死亡,现存确诊,无症状感染者
西藏,拉萨,0,1,1,0,0,0
澳门,澳门,0,79,77,0,2,0
青海,西宁,0,26,26,0,0,0
青海,海北州,0,3,3,0,0,0
青海,海东,0,1,1,0,0,0
台湾,台湾,120,18005,13742,851,3412,0
香港,香港,6,12873,12446,213,214,0
贵州,六盘水,0,10,9,1,0,0
贵州,毕节地区,0,23,23,0,0,0
贵州,黔西南州,0,4,4,0,0,0
贵州,黔南州,0,17,17,0,0,0
贵州,黔东南州,0,10,10,0,0,0
贵州,贵阳,0,36,35,1,0,0
贵州,铜仁地区,0,11,11,0,0,0
贵州,遵义,0,44,44,0,0,0
贵州,安顺,0,4,4,0,0,0
贵州,贵安新区,0,0,0,0,0,0
贵州,境外输入,0,1,1,0,0,0
吉林,延边,0,5,5,0,0,0
吉林,四平,0,17,16,1,0,0
吉林,通化,0,313,312,1,0,0
吉林,吉林市,0,50,49,1,0,0
吉林,公主岭,0,6,6,0,0,0
吉林,松原,0,6,6,0,0,0
吉林,长春,0,150,150,0,0,0
吉林,辽源,0,7,7,0,0,0
吉林,白城,0,1,1,0,0,0
吉林,梅河口,0,1,1,0,0,0
吉林,白山,0,0,0,0,0,0
吉林,境外输入,0,34,32,0,2,0
新疆,乌鲁木齐,0,845,845,0,0,0
新疆,第七师,0,1,1,0,0,0
新疆,第八师,0,4,3,1,0,0
新疆,吐鲁番地区,0,3,3,0,0,0
新疆,伊犁州,0,19,19,0,0,0
新疆,阿克苏地区,0,1,1,0,0,0
新疆,第九师,0,4,3,1,0,0
新疆,昌吉州,0,5,5,0,0,0
新疆,第六师,0,2,2,0,0,0
新疆,巴音郭楞蒙古自治州,0,3,3,0,0,0
新疆,第十二师,0,3,3,0,0,0
新疆,第四师,0,10,9,1,0,0
新疆,喀什地区,0,80,80,0,0,0
新疆,待确认,0,1,1,0,0,0
新疆,博州,0,0,0,0,0,0
宁夏,中卫,0,4,4,0,0,0
宁夏,吴忠,0,39,39,0,0,0
宁夏,银川,0,68,68,0,0,0
宁夏,宁东管委会,0,1,1,0,0,0
宁夏,固原,0,5,5,0,0,0
宁夏,石嘴山,0,1,1,0,0,0
宁夏,境外输入,0,4,4,0,0,0
内蒙古,锡林郭勒盟,0,29,29,0,0,0
内蒙古,包头,0,11,11,0,0,0
内蒙古,呼伦贝尔,0,596,596,0,0,0
内蒙古,呼和浩特,0,10,10,0,0,0
内蒙古,兴安盟,0,1,1,0,0,0
内蒙古,巴彦淖尔,0,8,7,1,0,0
内蒙古,赤峰,0,9,9,0,0,0
内蒙古,通辽,0,9,9,0,0,0
内蒙古,鄂尔多斯,0,12,12,0,0,0
内蒙古,乌兰察布,0,3,3,0,0,0
内蒙古,乌海,0,2,2,0,0,0
内蒙古,阿拉善盟,0,165,165,0,0,0
内蒙古,境外输入,0,336,336,0,0,0
甘肃,平凉,0,9,9,0,0,0
甘肃,金昌,0,1,1,0,0,0
甘肃,天水,0,51,51,0,0,0
甘肃,张掖,0,17,17,0,0,0
甘肃,陇南,0,6,6,0,0,0
甘肃,白银,0,4,4,0,0,0
甘肃,临夏州,0,3,3,0,0,0
甘肃,兰州,0,119,117,2,0,0
甘肃,定西,0,9,9,0,0,0
甘肃,甘南州,0,8,8,0,0,0
甘肃,庆阳,0,3,3,0,0,0
甘肃,武威,0,0,0,0,0,0
甘肃,酒泉,0,0,0,0,0,0
甘肃,境外输入,0,120,120,0,0,0
甘肃,外来人员,0,1,1,0,0,0
甘肃,嘉峪关,0,5,5,0,0,0
天津,红桥区,0,3,2,0,1,0
天津,和平区,0,6,6,0,0,0
天津,滨海新区,0,13,13,0,0,0
天津,西青区,1,17,5,0,12,0
天津,南开区,0,7,6,0,1,0
天津,河东区,0,15,14,1,0,0
天津,河北区,0,12,12,0,0,0
天津,河西区,0,10,4,0,6,0
天津,外地来津人员,0,6,6,0,0,0
天津,宁河区,0,4,4,0,0,0
天津,宝坻区,0,60,58,2,0,0
天津,东丽区,0,5,4,0,1,0
天津,津南区,13,307,2,0,305,0
天津,北辰区,0,7,7,0,0,0
天津,武清区,0,2,2,0,0,0
天津,静海区,0,0,0,0,0,0
天津,蓟州区,0,0,0,0,0,0
天津,境外输入,0,502,422,0,80,0
山西,朔州,0,8,8,0,0,0
山西,晋中,0,41,41,0,0,0
山西,运城,0,20,19,0,1,0
山西,阳泉,0,4,4,0,0,0
山西,吕梁,0,6,6,0,0,0
山西,大同,0,12,12,0,0,0
山西,长治,0,8,8,0,0,0
山西,临汾,0,2,2,0,0,0
山西,太原,0,21,21,0,0,0
山西,晋城,0,10,10,0,0,0
山西,忻州,0,7,7,0,0,0
山西,境外输入,0,127,127,0,0,0
辽宁,朝阳,0,6,5,1,0,0
辽宁,铁岭,0,8,8,0,0,0
辽宁,葫芦岛,0,12,11,1,0,0
辽宁,锦州,0,12,12,0,0,0
辽宁,大连,0,470,470,0,0,0
辽宁,营口,0,11,11,0,0,0
辽宁,丹东,0,11,11,0,0,0
辽宁,沈阳,0,78,78,0,0,0
辽宁,辽阳,0,3,3,0,0,0
辽宁,盘锦,0,11,11,0,0,0
辽宁,本溪,0,3,3,0,0,0
辽宁,鞍山,0,4,4,0,0,0
辽宁,阜新,0,8,8,0,0,0
辽宁,抚顺,0,1,1,0,0,0
辽宁,境外输入,0,172,161,0,11,0
黑龙江,鹤岗,0,5,5,0,0,0
黑龙江,七台河,0,17,17,0,0,0
黑龙江,大兴安岭地区,0,3,3,0,0,0
黑龙江,佳木斯,0,15,15,0,0,0
黑龙江,牡丹江,0,36,36,0,0,0
黑龙江,鸡西,0,46,46,0,0,0
黑龙江,绥化,0,537,533,4,0,0
黑龙江,齐齐哈尔,0,45,44,1,0,0
黑龙江,双鸭山,0,52,49,3,0,0
黑龙江,哈尔滨,0,546,542,4,0,0
黑龙江,大庆,0,29,28,1,0,0
黑龙江,黑河,0,295,295,0,0,0
黑龙江,伊春,0,1,1,0,0,0
黑龙江,境外输入,0,406,406,0,0,0
黑龙江,待确认,0,2,2,0,0,0
海南,陵水黎族自治县,0,4,4,0,0,0
海南,琼中黎族苗族自治县,0,1,1,0,0,0
海南,琼海,0,6,5,1,0,0
海南,儋州,0,15,14,1,0,0
海南,万宁,0,13,13,0,0,0
海南,东方,0,3,2,1,0,0
海南,临高,0,6,6,0,0,0
海南,海口,0,41,41,0,0,0
海南,澄迈,0,9,8,1,0,0
海南,三亚,0,55,54,1,0,0
海南,昌江黎族自治县,0,7,7,0,0,0
海南,定安,0,3,2,1,0,0
海南,乐东黎族自治县,0,2,2,0,0,0
海南,文昌,0,3,3,0,0,0
海南,保亭黎族苗族自治县,0,3,3,0,0,0
海南,屯昌,0,0,0,0,0,0
海南,三沙,0,0,0,0,0,0
海南,境外输入,0,19,19,0,0,0
河北,张家口,0,43,43,0,0,0
河北,保定,0,36,36,0,0,0
河北,邢台,0,96,95,1,0,0
河北,沧州,0,49,46,3,0,0
河北,石家庄,0,963,962,1,0,0
河北,承德,0,7,7,0,0,0
河北,廊坊,0,33,33,0,0,0
河北,邯郸,0,32,32,0,0,0
河北,衡水,0,8,8,0,0,0
河北,唐山,0,58,57,1,0,0
河北,秦皇岛,0,10,9,1,0,0
河北,境外输入,0,37,37,0,0,0
